,id,title,name,tag_id,year,year_bucket
0,300669,Don't Breathe,teenager,15023,2016,2010
4,332567,The Shallows,mexico,534,2016,2010
5,332567,The Shallows,beach,966,2016,2010
7,332567,The Shallows,island,2041,2016,2010
8,332567,The Shallows,survival,10349,2016,2010
10,332567,The Shallows,shark,15097,2016,2010
11,332567,The Shallows,great white shark,15098,2016,2010
12,332567,The Shallows,trapped,18029,2016,2010
13,332567,The Shallows,animal attack,158130,2016,2010
14,332567,The Shallows,animal horror,223059,2016,2010
16,259693,The Conjuring 2,london,212,2016,2010
17,259693,The Conjuring 2,england,392,2016,2010
18,259693,The Conjuring 2,1970s,1228,2016,2010
19,259693,The Conjuring 2,spirit,13153,2016,2010
20,259693,The Conjuring 2,single mother,14768,2016,2010
21,259693,The Conjuring 2,demon,15001,2016,2010
22,259693,The Conjuring 2,paranormal investigation,15043,2016,2010
23,259693,The Conjuring 2,demonic possession,161261,2016,2010
26,301365,The Neon Demon,model,14818,2016,2010
27,333371,10 Cloverfield Lane,bunker,2321,2016,2010
28,333371,10 Cloverfield Lane,paranoia,2340,2016,2010
29,333371,10 Cloverfield Lane,basement,9866,2016,2010
30,333371,10 Cloverfield Lane,kidnapping,10118,2016,2010
32,333371,10 Cloverfield Lane,apocalypse,12332,2016,2010
33,333371,10 Cloverfield Lane,car accident,13063,2016,2010
34,333371,10 Cloverfield Lane,captive,15381,2016,2010
35,263472,Knock Knock,female nudity,293,2015,2010
36,263472,Knock Knock,sex,572,2015,2010
38,263472,Knock Knock,infidelity,1326,2015,2010
39,263472,Knock Knock,rain,2217,2015,2010
40,263472,Knock Knock,architect,2301,2015,2010
41,263472,Knock Knock,nudity,2483,2015,2010
42,263472,Knock Knock,seduction,3182,2015,2010
44,263472,Knock Knock,torture,13006,2015,2010
45,263472,Knock Knock,violence,14819,2015,2010
46,263472,Knock Knock,art,14893,2015,2010
47,263472,Knock Knock,home invasion,14903,2015,2010
55,316727,The Purge: Election Year,dystopia,4565,2016,2010
56,316727,The Purge: Election Year,sequel,9663,2016,2010
58,346672,Underworld: Blood Wars,vampire,3133,2017,2010
59,346672,Underworld: Blood Wars,war,6091,2017,2010
60,346672,Underworld: Blood Wars,sequel,9663,2017,2010
61,346672,Underworld: Blood Wars,werewolf,12564,2017,2010
62,346672,Underworld: Blood Wars,gothic,33505,2017,2010
63,346672,Underworld: Blood Wars,woman director,187056,2017,2010
64,238636,The Purge: Anarchy,bus,992,2014,2010
67,238636,The Purge: Anarchy,machete,3544,2014,2010
68,238636,The Purge: Anarchy,dystopia,4565,2014,2010
69,238636,The Purge: Anarchy,psychopath,6259,2014,2010
70,238636,The Purge: Anarchy,sequel,9663,2014,2010
71,238636,The Purge: Anarchy,revenge,9748,2014,2010
72,238636,The Purge: Anarchy,murder,9826,2014,2010
73,238636,The Purge: Anarchy,survival,10349,2014,2010
74,238636,The Purge: Anarchy,motorcycle,14735,2014,2010
75,238636,The Purge: Anarchy,violence,14819,2014,2010
77,238636,The Purge: Anarchy,masked man,15069,2014,2010
78,238636,The Purge: Anarchy,apartment,33632,2014,2010
79,238636,The Purge: Anarchy,death,34079,2014,2010
80,238636,The Purge: Anarchy,survival horror,50009,2014,2010
81,238636,The Purge: Anarchy,gatling gun,187028,2014,2010
82,49017,Dracula Untold,vampire,3133,2014,2010
83,49017,Dracula Untold,dracula,3633,2014,2010
87,49017,Dracula Untold,vlad,225470,2014,2010
88,755,From Dusk Till Dawn,dancing,246,1996,1990
89,755,From Dusk Till Dawn,brother brother relationship,380,1996,1990
90,755,From Dusk Till Dawn,sexual obsession,459,1996,1990
92,755,From Dusk Till Dawn,sheriff,798,1996,1990
93,755,From Dusk Till Dawn,eroticism,1664,1996,1990
94,755,From Dusk Till Dawn,nudity,2483,1996,1990
96,755,From Dusk Till Dawn,vampire,3133,1996,1990
97,755,From Dusk Till Dawn,holy water,3649,1996,1990
98,755,From Dusk Till Dawn,siege,4063,1996,1990
99,755,From Dusk Till Dawn,stripper,6593,1996,1990
100,755,From Dusk Till Dawn,priest,10093,1996,1990
101,755,From Dusk Till Dawn,bloody violence,11238,1996,1990
102,755,From Dusk Till Dawn,explosion,14601,1996,1990
106,755,From Dusk Till Dawn,crucifix,41380,1996,1990
110,755,From Dusk Till Dawn,female vampire,174878,1996,1990
114,270303,It Follows,friends,9713,2014,2010
115,270303,It Follows,vision,10629,2014,2010
116,270303,It Follows,school,10873,2014,2010
117,270303,It Follows,young adult,206298,2014,2010
119,396535,Train to Busan,zombies,12377,2016,2010
120,396535,Train to Busan,train,13008,2016,2010
121,243688,Poltergeist,poltergeist,3350,2015,2010
122,243688,Poltergeist,haunted house,3358,2015,2010
123,243688,Poltergeist,remake,9714,2015,2010
124,243688,Poltergeist,duringcreditsstinger,179431,2015,2010
125,348,Alien,android,803,1979,1970
127,348,Alien,countdown,1825,1979,1970
128,348,Alien,space marine,1826,1979,1970
130,348,Alien,beheading,1829,1979,1970
131,348,Alien,dying and death,3737,1979,1970
132,348,Alien,dystopia,4565,1979,1970
134,348,Alien,spaceship,9831,1979,1970
135,348,Alien,alien,9951,1979,1970
136,348,Alien,female protagonist,11322,1979,1970
137,348,Alien,outer space,12405,1979,1970
138,348,Alien,cowardliness,13001,1979,1970
139,348,Alien,parasite,157634,1979,1970
141,242512,Ouija,death of a friend,4959,2014,2010
142,242512,Ouija,ouija,10111,2014,2010
143,242512,Ouija,ouija board,10112,2014,2010
144,242512,Ouija,teenager,15023,2014,2010
146,242512,Ouija,ghost,162846,2014,2010
148,242512,Ouija,supernatural horror,185408,2014,2010
149,351211,Blair Witch,sequel,9663,2016,2010
151,257445,Goosebumps,magic,2343,2015,2010
152,257445,Goosebumps,fantasy,2486,2015,2010
154,257445,Goosebumps,family,18035,2015,2010
155,257445,Goosebumps,3d,209714,2015,2010
156,58431,Pride and Prejudice and Zombies,based on novel,818,2016,2010
159,58431,Pride and Prejudice and Zombies,zombies,12377,2016,2010
165,168098,Cell,suicide,236,2016,2010
166,168098,Cell,based on novel,818,2016,2010
167,168098,Cell,airport,822,2016,2010
169,168098,Cell,murder,9826,2016,2010
171,168098,Cell,violence,14819,2016,2010
172,168098,Cell,cell phone,15156,2016,2010
173,168098,Cell,stephen king,41198,2016,2010
175,168098,Cell,virus,188957,2016,2010
176,161337,Underworld: Endless War,vampire,3133,2011,2010
182,578,Jaws,fishing,1495,1975,1970
185,578,Jaws,shipwreck,2580,1975,1970
188,578,Jaws,dying and death,3737,1975,1970
190,578,Jaws,shark,15097,1975,1970
191,578,Jaws,great white shark,15098,1975,1970
192,578,Jaws,animal horror,223059,1975,1970
193,201085,Crimson Peak,haunted house,3358,2015,2010
195,201085,Crimson Peak,murder,9826,2015,2010
197,201085,Crimson Peak,gothic,33505,2015,2010
198,201085,Crimson Peak,ghost,162846,2015,2010
199,14564,Rings,prequel,9675,2016,2010
200,14564,Rings,suspense,9937,2016,2010
201,310131,The Witch,witch,616,2015,2010
202,310131,The Witch,new england,41393,2015,2010
204,287903,Krampus,santa claus,1991,2015,2010
207,287903,Krampus,demon,15001,2015,2010
210,287903,Krampus,christmas,207317,2015,2010
213,321258,The Boy,suicide,236,2016,2010
214,321258,The Boy,england,392,2016,2010
